data;salario_nominal;valor_smn
01/09/2025;1518.00;7075.83
01/08/2025;1518.00;7147.91
01/07/2025;1518.00;7274.43
01/06/2025;1518.00;7416.07
01/05/2025;1518.00;7528.56
01/04/2025;1518.00;7638.62
01/03/2025;1518.00;7398.94
01/02/2025;1518.00;7229.32
01/01/2025;1518.00;7156.15
01/12/2024;1412.00;7067.68
01/11/2024;1412.00;6959.31
01/10/2024;1412.00;6769.87
01/09/2024;1412.00;6657.55
01/08/2024;1412.00;6606.13
01/07/2024;1412.00;6802.88
01/06/2024;1412.00;6995.44
01/05/2024;1412.00;6946.37
01/04/2024;1412.00;6912.69
01/03/2024;1412.00;6832.20
01/02/2024;1412.00;6996.36
01/01/2024;1412.00;6723.41
01/12/2023;1320.00;6439.62
01/11/2023;1320.00;6294.71
01/10/2023;1320.00;6210.11
01/09/2023;1320.00;6280.93
01/08/2023;1320.00;6389.72
01/07/2023;1320.00;6528.93
01/06/2023;1320.00;6578.41
01/05/2023;1320.00;6652.09
01/04/2023;1302.00;6676.11
01/03/2023;1302.00;6571.52
01/02/2023;1302.00;6547.58
01/01/2023;1302.00;6641.58
01/12/2022;1212.00;6647.63
01/11/2022;1212.00;6575.30
01/10/2022;1212.00;6458.86
01/09/2022;1212.00;6306.97
01/08/2022;1212.00;6298.91
01/07/2022;1212.00;6388.55
01/06/2022;1212.00;6527.67
01/05/2022;1212.00;6535.40
01/04/2022;1212.00;6754.33
01/03/2022;1212.00;6394.76
01/02/2022;1212.00;6012.18
01/01/2022;1212.00;5997.14
01/12/2021;1100.00;5800.98
01/11/2021;1100.00;5969.17
01/10/2021;1100.00;5886.50
01/09/2021;1100.00;5657.66
01/08/2021;1100.00;5583.90
01/07/2021;1100.00;5518.79
01/06/2021;1100.00;5421.84
01/05/2021;1100.00;5351.11
01/04/2021;1100.00;5330.69
01/03/2021;1100.00;5315.74
01/02/2021;1100.00;5375.05
01/01/2021;1100.00;5495.52
01/12/2020;1045.00;5304.90
01/11/2020;1045.00;5289.53
01/10/2020;1045.00;5005.91
01/09/2020;1045.00;4892.75
01/08/2020;1045.00;4536.12
01/07/2020;1045.00;4420.11
01/06/2020;1045.00;4595.60
01/05/2020;1045.00;4694.57
01/04/2020;1045.00;4673.06
01/03/2020;1045.00;4483.20
01/02/2020;1045.00;4366.51
01/01/2020;1039.00;4347.61
01/12/2019;998.00;4342.57
01/11/2019;998.00;4021.39
01/10/2019;998.00;3978.63
01/09/2019;998.00;3980.82
01/08/2019;998.00;4044.58
01/07/2019;998.00;4143.55
01/06/2019;998.00;4214.62
01/05/2019;998.00;4259.90
01/04/2019;998.00;4385.75
01/03/2019;998.00;4277.04
01/02/2019;998.00;4052.65
01/01/2019;998.00;3928.73
01/12/2018;954.00;3960.57
01/11/2018;954.00;3959.98
01/10/2018;954.00;3783.39
01/09/2018;954.00;3658.39
01/08/2018;954.00;3636.04
01/07/2018;954.00;3674.77
01/06/2018;954.00;3804.06
01/05/2018;954.00;3747.10
01/04/2018;954.00;3696.95
01/03/2018;954.00;3706.44
